Name,Rating,Reviews,Delivery Time
Zumapoke & Lush Ice,4,18,15
Falafel Corner Davis,5,110,20
Pho King 4 ,4,107,15
Pho Tasty,4,22,15
Jack's Urban Eats,4,192,35
Halal Bros,4,469,20
Tasty Kitchen,4,257,15
Tasty Palace Pin Xiang Ge,4,11,15
Teriyaki Madness,4,211,40
Dah Bao,5,5,20
Panda Express,4,365,20
Chipotle,4,437,20
Taqueria El Burrito 2,4,543,20
Nami Sushi,4,5,20
L&L Hawaiian Barbecue,4,683,35
Manna Restaurant,4,6,15
Pho Yummy,5,4,15
Raising Cane's Chicken Fingers,4,352,15
Sourdough & Co.,4,213,35
H K Garden,4,18,30
Anthony's Italian Cuisine,4,135,40
Mr. Pickle's Sandwich Shop,4,131,20
Ono Hawaiian BBQ (ONO-225),4,179,40
Thai Farm House,4,1081,35
Golden Dragon Chinese Restaurant ,4,537,35
The Coconut On T,4,223,40
Yeti Restaurant,4,239,15
Kathmandu Kitchen,4,1089,45
Calzone  Life,4,57,15
Dos Coyotes Border Cafe,5,16,20
Tasty Gourmet,4,25,20
Five Guys,4,41,35
Thai Canteen,4,1689,40
I Love Teriyaki,4,251,35
El Patio Fresh Mexican Grill,4,449,15
Capitol gyros,4,76,35
Ike's Love & Sandwiches,4,73,20
Ramen 101 - Midtown,4,217,35
Good Friends Restaurant,4,314,30
Bangkok @12 Thai Restaurant,4,301,35
Chaat kafe,4,460,35
Davis Sushi Restaurant,4,234,25
Bombay Bar and Grill,4,1898,45
Iron Horse Tavern,4,249,35
Falafel Corner,4,71,35
TOGO’S,4,47,25
Black Bear Diner,4,129,15
Habit Burger & Grill,4,23,35
Orchid Thai Restaurant & Bar,4,942,30
Aloha Poke & Ramen,4,662,35
Taco Bell,4,918,15
King's Halal Mediterranean Food,4,115,40
Bruxie,4,21,20
Red 88 Noodle Bar,4,180,20
Jensai Sushi,4,1808,30
Fire Wings ,4,71,25
Dos Coyotes Border Cafe ,4,17,35
Koja Kitchen (Sac),4,152,35
Jersey Mike's,4,239,35
Halal Muncheez,4,26,35
Hao Bao Dumplings (K Street Store),4,105,35
Panera Bread,4,206,15
Vegan Deadly Sins,4,322,35
Los Inmortales Taqueria,4,52,35
Little Caesars Pizza,5,44,20
Applebee's,4,384,40
The Habibi's Grill,4,26,30
Tasty Dumpling,4,88,35
I Heart Mac & Cheese,4,51,40
Chicha Peruvian Kitchen Midtown,4,6,35
Mountain Mike's Pizza,4,36,25
Ming Dynasty,4,225,35
Bangkok Garden Thai Cuisine & Sushi Bar,4,10,55
Jamie's Broadway Grille,4,13,30
Oscar's Very Mexican Food,4,101,30
Safeway,5,8,30
Punjabi Dhaba,4,91,40
Tim's Kitchen Davis,4,11,15
WeDaShii,4,66,35
Journey to the Dumpling 2,4,36,35
Marco's Pizza,4,6,30
Carl's Jr.,4,21,20
Shake Shack,4,678,40
lucky jade chinese restaurant,4,89,35
Boba Pho U,4,60,35
Blaze Pizza,4,112,20
Mas Taco Bar,4,26,35
Everest Curry,4,33,35
Vallejo's Restaurant,4,68,30
Manaao Thai Cuisine,4,126,35
California Burrito,4,438,30
Dumpling Yo!,4,14,35
Calzone Life,4,181,35
SacVille Hot Chicken,4,220,35
Plant Power Fast Food - Sacramento,4,312,35
Lazi Cow,4,159,15
Shah's Halal Food,4,30,35
Pardon My Cheesesteak,4,13,20
Ace's Gyro Shack ,4,62,35
Firehouse Subs,4,358,35
Pho Viet 2,4,287,35
India Gate Cuisine,4,83,35
Cajun Feast,4,41,15
Bento Box Midtown,4,123,35
McDonald's,4,201,20
Popeyes,4,277,45
The Meltdown,4,38,45
Roberta's Cocina Mexican,4,1128,40
Wendy's,4,70,35
Nick the Greek,4,9,15
Sizzler,4,201,40
Pooja Indian Grill,4,45,30
Tea Cup Cafe,4,159,40
MOD Pizza (West Sacramento),4,90,35
Cornerstone Cafe & Bar,4,173,30
Satori Sushi,4,305,30
Pizza Guys,4,19,35
Burger King,4,113,20
T & Z Chinese Restaurant,4,170,35
Del Taco,4,7,30
Pete's 7,4,34,35
Delish Pizza,4,418,30
Petra Greek Midtown,4,164,35
Delish Pizza,4,15,35
Calzone Life,4,90,30
Beach Hut Deli,4,10,30
Quickly (Truxel Rd Ste 6A),5,17,35
Buffalo Pizza & Ice Cream,4,305,40
Buddha Belly Burgers,4,26,30
Jack in the Box,4,77,10
Pizza Twist,4,11,35
Cenarios Pizza of Dixon,4,9,35
Ju Hachi,4,161,35
Cheesesteaks,4,116,35
Kiki's Chicken Place,4,462,35
KFC,4,335,35
Wienerschnitzel,4,41,35
Raku Sushi,4,215,25
Quickly Sacramento,4,34,30
Cafeteria15L,4,148,35
JP Thai Kitchen,4,315,35
SUBWAY®,4,68,30
India Oven,4,54,35
Giant Pizza,4,52,35
Chevy's Fresh Mex,4,360,35
Chitas Taqueria,4,282,35
Cenarios Pizza Davis,5,3,20
Chando's Tacos,4,78,30
Morton's The Steakhouse,4,57,35
Il Fornaio- Sacramento,4,40,35
TOMO Tea House,4,6,20
Jimboy's Tacos #350,4,48,30
IHOP,4,63,20
Creamy's by Cayla Jordan,4,15,35
Poke Ichii,4,35,35
Pizza Guys,4,56,30
Ttobongee Chicken @Natomas,4,49,35
It's Just Wings,4,38,35
Manchurian Indian & Nepalese Cuisine ,4,220,30
Papa Johns,4,337,35
Cocina Dona Chuyita,4,28,30
Pizza Guys,4,102,35
Naan Twist,4,10,35
Denny's,4,328,35
Burger Den,4,11,35
Papa Murphy's Pizza,4,4,35
Ume Tea,4,39,25
Star KTV Lounge & Tea Hub,4,16,35
MOD Fresh (West Sacramento),4,14,30
Tasty Pot,4,23,35
Lazi Cow,4,15,35
Teaspoon,4,13,15
Kabab Corner,4,13,30
Indian Curries & Rolls INC,4,9,35
Taqueria La Garita Mexican Food ,4,11,30
Cakes By Jeff The Chef,4,6,30
Cold Stone Creamery,4,58,35
Insomnia Cookies,4,277,15
Rare Tea,4,56,35
Bro's Liquor,4,13,20
Casa Jalisco,4,46,25
ShareTea Davis,4,15,20
Menchie's Frozen Yogurt,4,11,35
Pressed Retail,4,30,35
7-Eleven,4,42,20
Temple Coffee Roasters,4,80,15
CVS,4,12,25
Jamba Juice,4,20,25
Baskin-Robbins,4,14,15
Starbucks,4,49,15
Deluna Dessert Cafe,4,24,40
Tapioca Express,4,9,35
Salt & Straw Ice Blocks,4,74,35
Mixx Market 55 - Truxel Shell,4,4,35
Rite Aid,4,13,30
Grubhub Goods,4,3,30
ExtraMile Convenience Stores,4,5,35
Aggie Liquor,4,4,20
PetSmart,5,3,35
Power Market 3027,4,6,35
